Team,Player,Role
Chennai Super Kings,Ruturaj Gaikwad,Batter
Chennai Super Kings,MS Dhoni,WK-Batter
Chennai Super Kings,Sanju Samson,WK-Batter
Chennai Super Kings,Dewald Brevis,Batter
Chennai Super Kings,Ayush Mhatre,Batter
Chennai Super Kings,Kartik Sharma,WK-Batter
Chennai Super Kings,Sarfaraz Khan,Batter
Chennai Super Kings,Urvil Patel,WK-Batter
Chennai Super Kings,Anshul Kamboj,All-Rounder
Chennai Super Kings,Jamie Overton,All-Rounder
Chennai Super Kings,Ramakrishna Ghosh,All-Rounder
Chennai Super Kings,Prashant Veer,All-Rounder
Chennai Super Kings,Matthew William Short,All-Rounder
Chennai Super Kings,Aman Khan,All-Rounder
Chennai Super Kings,Zak Foulkes,All-Rounder
Chennai Super Kings,Shivam Dube,All-Rounder
Chennai Super Kings,Khaleel Ahmed,Bowler
Chennai Super Kings,Noor Ahmad,Bowler
Chennai Super Kings,Mukesh Choudhary,Bowler
Chennai Super Kings,Nathan Ellis,Bowler
Chennai Super Kings,Shreyas Gopal,Bowler
Chennai Super Kings,Gurjapneet Singh,Bowler
Chennai Super Kings,Akeal Hosein,Bowler
Chennai Super Kings,Matt Henry,Bowler
Chennai Super Kings,Rahul Chahar,Bowler
Delhi Capitals,KL Rahul,WK-Batter
Delhi Capitals,Karun Nair,Batter
Delhi Capitals,David Miller,Batter
Delhi Capitals,Ben Duckett,WK-Batter
Delhi Capitals,Pathum Nissanka,Batter
Delhi Capitals,Sahil Parakh,Batter
Delhi Capitals,Prithvi Shaw,Batter
Delhi Capitals,Abishek Porel,WK-Batter
Delhi Capitals,Tristan Stubbs,WK-Batter
Delhi Capitals,Axar Patel,All-Rounder
Delhi Capitals,Sameer Rizvi,All-Rounder
Delhi Capitals,Ashutosh Sharma,All-Rounder
Delhi Capitals,Vipraj Nigam,All-Rounder
Delhi Capitals,Ajay Mandal,All-Rounder
Delhi Capitals,Tripurana Vijay,All-Rounder
Delhi Capitals,Madhav Tiwari,All-Rounder
Delhi Capitals,Auqib Dar,All-Rounder
Delhi Capitals,Nitish Rana,All-Rounder
Delhi Capitals,Mitchell Starc,Bowler
Delhi Capitals,T. Natarajan,Bowler
Delhi Capitals,Mukesh Kumar,Bowler
Delhi Capitals,Dushmantha Chameera,Bowler
Delhi Capitals,Lungisani Ngidi,Bowler
Delhi Capitals,Kyle Jamieson,Bowler
Delhi Capitals,Kuldeep Yadav,Bowler
Mumbai Indians,Rohit Sharma,Batter
Mumbai Indians,Suryakumar Yadav,Batter
Mumbai Indians,Robin Minz,WK-Batter
Mumbai Indians,Sherfane Rutherford,Batter
Mumbai Indians,Ryan Rickelton,WK-Batter
Mumbai Indians,Quinton de Kock,WK-Batter
Mumbai Indians,Danish Malewar,Batter
Mumbai Indians,Tilak Varma,Batter
Mumbai Indians,Hardik Pandya,All-Rounder
Mumbai Indians,Naman Dhir,All-Rounder
Mumbai Indians,Mitchell Santner,All-Rounder
Mumbai Indians,Raj Angad Bawa,All-Rounder
Mumbai Indians,Atharva Ankolekar,All-Rounder
Mumbai Indians,Mayank Rawat,All-Rounder
Mumbai Indians,Corbin Bosch,All-Rounder
Mumbai Indians,Will Jacks,All-Rounder
Mumbai Indians,Shardul Thakur,All-Rounder
Mumbai Indians,Trent Boult,Bowler
Mumbai Indians,Mayank Markande,Bowler
Mumbai Indians,Deepak Chahar,Bowler
Mumbai Indians,Ashwani Kumar,Bowler
Mumbai Indians,Raghu Sharma,Bowler
Mumbai Indians,Mohammad Izhar,Bowler
Mumbai Indians,Allah Ghazanfar,Bowler
Mumbai Indians,Jasprit Bumrah,Bowler
Kolkata Knight Riders,Ajinkya Rahane,Batter
Kolkata Knight Riders,Rinku Singh,Batter
Kolkata Knight Riders,Angkrish Raghuvanshi,Batter
Kolkata Knight Riders,Manish Pandey,Batter
Kolkata Knight Riders,Cameron Green,Batter
Kolkata Knight Riders,Finn Allen,WK-Batter
Kolkata Knight Riders,Tejasvi Singh,WK-Batter
Kolkata Knight Riders,Rahul Tripathi,Batter
Kolkata Knight Riders,Tim Seifert,WK-Batter
Kolkata Knight Riders,Rovman Powell,Batter
Kolkata Knight Riders,Anukul Roy,All-Rounder
Kolkata Knight Riders,Sarthak Ranjan,All-Rounder
Kolkata Knight Riders,Daksh Kamra,All-Rounder
Kolkata Knight Riders,Rachin Ravindra,All-Rounder
